Meta;Zeit [s];Geschwindigkeit [m/s]
22.12.2010;0;0
Auto-Geschwindigkeit;0.1;-0.1989
N.Gautschi,T.Senti;0.2;0
6.2;0.3;0.09945
m/s;0.4;0.1989
notused;0.5;0
notused;0.6;0.09945
Masse = 256g|Gegengewicht = 46g|Winkel = 10Grad;0.7;0
;0.8;0.09945
;0.9;0.09945
;1;0
;1.1;0.1989
;1.2;0.09945
;1.3;0.09945
;1.4;0.09945
;1.5;0.09945
;1.6;0.1989
;1.7;0.09945
;1.8;0.09945
;1.9;0.1989
;2;0.09945
;2.1;0.09945
;2.2;0.1989
;2.3;0.1989
;2.4;0.1989
;2.5;0.09945
;2.6;0.1989
;2.7;0.09945
;2.8;0.29835
;2.9;0.1989
;3;0.09945
;3.1;0.29835
;3.2;0.1989
;3.3;0.1989
;3.4;0.1989
;3.5;0.1989
;3.6;0.29835
;3.7;0.1989
;3.8;0.1989
;3.9;0.1989
;4;0.29835
;4.1;0.1989
;4.2;0.29835
;4.3;0.1989
;4.4;0.29835
;4.5;0.29835
;4.6;0.29835
;4.7;0.1989
;4.8;0.29835
