Meta;Zeit [s];Strecke [m]
22.12.2010;0;-0.00995
Auto-Strecke;0.1;-0.01989
N.Gautschi,T.Senti;0.2;0.00995
9.1;0.3;0
m;0.4;0.00995
notused;0.5;0.01989
notused;0.6;0.03978
Masse =760.75g|Gegengewicht = 140g|Winkel = 10 Grad;0.7;0.03978
;0.8;0.05967
;0.9;0.06961
;1;0.07956
;1.1;0.09945
;1.2;0.11934
;1.3;0.13923
;1.4;0.14918
;1.5;0.15912
;1.6;0.17901
;1.7;0.20885
;1.8;0.22873
;1.9;0.25857
;2;0.27846
;2.1;0.3083
;2.2;0.33813
;2.3;0.35802
;2.4;0.38786
;2.5;0.41769
;2.6;0.44753
;2.7;0.47736
;2.8;0.51714
;2.9;0.54698
;3;0.57681
;3.1;0.60664
;3.2;0.64643
;3.3;0.68621
;3.4;0.71604
;3.5;0.74588
;3.6;0.78565
